Issue,Name,Responder,SIG,KEP,KEP_State,Completed_in_Release
1393,Provide OIDC discovery for service account token issuer,mtaufen,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/20190730-oidc-discovery.md,implementable,
1403,Implement Node Maintenance Lease for disruptive operations,michaelgugino,cluster-lifecycle,No KEP,none,
1412,Immutable Secrets and ConfigMaps,wojtek-t,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20191117-immutable-secrets-configmaps.md,implementable,
1424,Move kubeadm out of kubernetes/kubernetes,neolit123,cluster-lifecycle,https://github.com/kubernetes/enhancements/pull/1425,provisional,
1432,PV Health Monitor,xing-yang,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190530-pv-health-monitor.md,implementable,
1435,Support of mixed protocols in Services with type=LoadBalancer,janosi,network,https://github.com/kubernetes/enhancements/pull/1438,none,
1440,kubectl events,soltysh,cli,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cli/20191008-kubectl-events.md,implementable,
1441,kubectl debug,soltysh,cli,https://github.com/kubernetes/enhancements/blob/master/keps/sig-cli/20190805-kubectl-debug.md,implementable,
1451,Run multiple Scheduling Profiles,alculquicondor,scheduling,https://github.com/kubernetes/enhancements/blob/master/keps/sig-scheduling/20200114-multi-scheduling-profiles.md,implementable,
1453,Graduate Ingress to V1,robscott,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20190125-ingress-api-group.md,implementable,
1464,inplace update pods for apps,skilxn-go,apps,https://github.com/kubernetes/enhancements/pull/1462,provisional,
1472,StoragePools for Capacity Management,pohly,storage,https://github.com/kubernetes/enhancements/pull/1353,implementable,
1487,AWS EBS in-tree to CSI driver migration,davidz627,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
1488,GCE PD in-tree to CSI driver migration,davidz627,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
1489,Cinder in-tree to CSI driver migration,adisky dims,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
1490,Azure file/disk in-tree to CSI driver migration,andyzhangx,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
1491,vSphere in-tree to CSI driver migration,xing-yangÂ,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20190129-csi-migration.md,implementable,
1495,Generic data populators,bswartz,storage,https://github.com/kubernetes/enhancements/blob/master/keps/sig-storage/20200120-generic-data-populators.md,implementable,
1498,Increase Kubernetes support window to one year,youngnick,release,https://github.com/kubernetes/enhancements/pull/1497,provisional,
1500,NetworkPolicy and dns integration,diepes,network,No KEP,none,
1507,Adding AppProtocol to Services and Endpoints,robscott,network,https://github.com/kubernetes/enhancements/blob/master/keps/sig-network/20191227-app-protocol.md,implementable,
1513,CertificateSigningRequest API,liggitt,auth,https://github.com/kubernetes/enhancements/blob/master/keps/sig-auth/20190607-certificates-api.md,implementable,
1539,Extending Hugepage Feature,bg-chun,node,https://github.com/kubernetes/enhancements/pull/1540,implementable,
1547,Building Kubelet without Docker,,,,,
1553,Issue Triage Workflow and Automation,,,,,
1557,kubectl drain support custom pod filters,,,,,
1558,Streaming Proxy Redirects [DEPRECATED],,,,,
1559,kubectl drain allow deletion of daemonset pods,,,,,
1591,DaemonSets should support MaxSurge to improve workload availability,,,,,
1593,KEP Issue: Object Storage API,,,,,
1595,About Startup Probes,,,,,
1599,Exception for credential provider extraction,,,,,
1601,client-go signature refactor to standardize options and context handling,mikedaneseÂ,api-machinery,https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/20200123-client-go-ctx.md,implementable,
